age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
0,Private,174754,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,1,United-States,0
0,Private,224716,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,0
2,Private,38468,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
2,Local-gov,365430,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,Canada,1
3,Private,125417,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,2,United-States,1
0,Private,283033,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,0
2,Private,358373,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Black,Female,0,0,2,United-States,0
4,Local-gov,153602,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,2,0,2,United-States,0
4,Private,206339,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,0
2,Private,93225,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,0
4,Private,68268,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
3,Private,171924,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Canada,1
1,Private,195734,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,1,0,2,United-States,0
2,Private,303155,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
1,Self-emp-inc,154227,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,4,United-States,0
0,Private,39551,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
4,Self-emp-not-inc,204021,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,0
0,Private,260253,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,2,United-States,0
1,Private,222221,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,2,United-States,1
3,Private,215990,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
1,Private,150309,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,4,United-States,0
2,Private,408531,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,1
4,Federal-gov,221943,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,3,0,2,United-States,1
0,Private,315303,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,0
4,,223075,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,175540,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,3,United-States,0
3,Private,163894,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,2,United-States,0
4,Private,148113,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,0
1,Private,403433,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,3,United-States,1
1,Private,197905,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,0
2,State-gov,132551,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,0
1,Self-emp-not-inc,175710,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,,0
2,Private,189225,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,2,United-States,0
3,Private,177063,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
3,Private,162238,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2,3,United-States,1
2,Private,398575,Some-college,10,Never-married,Tech-support,Unmarried,White,Female,0,0,2,United-States,0
0,Private,234663,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,3,United-States,0
4,Private,191188,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,0
2,Private,187311,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,3,United-States,0
1,Private,218184,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,2,Jamaica,0
2,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,1
1,State-gov,312692,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,0,United-States,0
2,Self-emp-inc,199346,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,0
4,Local-gov,310085,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,1
1,Private,276967,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,0
1,Private,150570,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,2,United-States,1
2,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
3,Private,116219,Some-college,10,Divorced,Other-service,Not-in-family,Black,Female,0,0,2,United-States,0
0,Private,80616,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,0
2,State-gov,111275,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,0
3,,174702,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,1,United-States,0
0,Self-emp-inc,171041,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,0
2,Private,98466,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
1,Federal-gov,428271,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,1,United-States,0
3,Private,225339,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,1,United-States,0
3,Private,193720,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
4,Private,224277,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,1
3,Private,154405,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,2,United-States,0
1,Private,242704,HS-grad,9,Never-married,Tech-support,Own-child,Black,Male,0,0,2,United-States,0
1,Private,268127,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,2,United-States,0
1,Private,425627,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,0,0,2,Mexico,0
1,,192257,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,0
2,Federal-gov,57924,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,2,United-States,0
4,Private,36956,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,1
1,Private,115677,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,3,2,United-States,1
2,Private,194636,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
2,Private,225544,12th,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,0
2,Self-emp-not-inc,103980,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,0
1,Private,168403,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
1,Self-emp-not-inc,303867,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,1
3,Private,216999,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,0
1,Private,163189,Some-college,10,Divorced,Craft-repair,Own-child,White,Male,0,0,2,United-States,0
1,Private,101562,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,0
2,Private,89419,Assoc-voc,11,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,Columbia,0
3,Private,231472,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,1
3,Private,282674,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,2,United-States,1
2,Private,186916,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2,3,United-States,1
4,Self-emp-inc,195366,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,0
3,Private,170165,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Female,0,0,3,United-States,0
2,Private,224566,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,2,United-States,0
2,Federal-gov,197284,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,2,United-States,0
1,Private,405177,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,0
1,Private,97554,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
3,Private,173613,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,1,United-States,0
3,Private,182655,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,1
0,Private,179423,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Female,0,0,2,United-States,0
0,Private,150553,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,0,Philippines,0
2,Private,265932,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,0
0,Private,152540,Bachelors,13,Divorced,Transport-moving,Unmarried,White,Female,0,0,2,United-States,0
3,Self-emp-not-inc,102308,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,4,2,United-States,1
0,,174714,Some-college,10,Never-married,,Own-child,White,Male,0,0,0,United-States,0
0,,195808,11th,7,Never-married,,Own-child,White,Male,0,0,0,United-States,0
2,Private,19914,Some-college,10,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,2,United-States,0
4,Private,235205,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,2,United-States,0
1,State-gov,37314,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,0
2,Federal-gov,191295,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,3,United-States,0
4,Private,81973,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,4,0,2,United-States,1
2,Federal-gov,192589,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,0
0,Private,128538,11th,7,Never-married,Sales,Own-child,White,Female,0,0,1,United-States,0
1,Private,261725,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,2,Mexico,0
0,Private,242718,11th,7,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,0
0,,311570,HS-grad,9,Married-civ-spouse,,Other-relative,White,Female,0,0,1,United-States,0
4,Private,223911,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,0,0,2,United-States,0
2,Private,69333,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,3,United-States,0
2,Private,185437,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Female,0,0,3,United-States,0
1,Private,143152,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,1,United-States,0
2,Private,167396,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Guatemala,0
0,Private,162343,Some-college,10,Never-married,Other-service,Other-relative,Black,Male,0,0,0,United-States,0
3,Private,276214,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
1,Self-emp-inc,201763,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,1
1,Private,112271,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,0
2,Private,226902,Bachelors,13,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,2,United-States,0
1,Private,746432,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,3,United-States,0
1,,175552,5th-6th,3,Married-civ-spouse,,Wife,White,Female,0,0,2,Mexico,0
2,Local-gov,247082,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,3,United-States,1
4,Self-emp-not-inc,177806,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,0
4,Private,197816,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2,4,United-States,0
0,Private,178811,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,2,United-States,0
0,Private,25429,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,1,United-States,0
3,Private,201232,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
0,Private,285750,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,1,United-States,0
2,Private,216149,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
1,Private,430710,HS-grad,9,Separated,Sales,Own-child,White,Male,0,0,2,United-States,0
3,Private,282744,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,Canada,0
1,Private,238859,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,0
2,Private,58343,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,1
2,Private,236483,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
1,Private,54159,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
1,Private,110643,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,2,0,2,United-States,1
3,Private,142287,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,3,3,United-States,1
1,State-gov,223725,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,0
1,Private,272019,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,0
0,Private,148948,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
0,Private,96268,11th,7,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,0
2,Private,136081,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,1
3,Private,176240,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,1
3,Self-emp-inc,103948,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,0
2,Private,225821,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,2,United-States,1
3,Private,207677,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,0
2,Private,37718,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
1,Private,207258,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,2,United-States,0
0,Private,35448,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
3,Federal-gov,37289,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,1
2,Self-emp-not-inc,247379,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
3,Private,189680,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,1
1,Self-emp-not-inc,37918,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,3,United-States,0
2,Private,143003,Masters,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,2,2,China,1
3,Private,190333,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,3,United-States,0
0,Local-gov,175586,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Female,0,0,0,United-States,0
4,Private,139391,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,0,United-States,0
1,Private,157747,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,2,United-States,1
1,Private,159737,10th,6,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,2,United-States,0
1,,173800,Masters,14,Never-married,,Unmarried,Asian-Pac-Islander,Male,0,0,0,Taiwan,0
1,Private,213307,7th-8th,4,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,0,Mexico,0
2,Private,184277,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,3,United-States,1
2,Self-emp-inc,153132,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,3,United-States,1
4,,38189,HS-grad,9,Never-married,,Not-in-family,Black,Male,1,0,2,United-States,0
0,Private,215232,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,0,United-States,0
2,State-gov,884434,Some-college,10,Separated,Prof-specialty,Unmarried,Black,Female,0,0,2,United-States,0
0,Private,134446,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Male,0,0,3,United-States,0
2,Private,117627,Some-college,10,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,2,United-States,0
0,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,0
1,Self-emp-not-inc,106742,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,0
0,Private,150675,10th,6,Never-married,Sales,Own-child,White,Male,0,0,2,United-States,0
3,Private,48413,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,Private,219546,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
4,Self-emp-not-inc,22907,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,0
1,Self-emp-not-inc,216129,12th,8,Never-married,Other-service,Not-in-family,Black,Female,0,0,2,Trinadad&Tobago,0
3,Private,135339,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,1
2,Private,273230,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
2,Private,185057,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,0
4,Private,188330,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,4,United-States,0
4,Private,142689,11th,7,Divorced,Sales,Not-in-family,White,Male,0,0,3,United-States,0
2,Private,278476,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,1
3,Self-emp-not-inc,31267,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,3,United-States,0
1,Local-gov,314798,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,3,United-States,1
1,Private,190297,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,3,4,United-States,1
1,Private,122493,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,0
0,Private,125031,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,2,United-States,0
1,Private,94880,Some-college,10,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0,0,2,Mexico,0
2,Private,33521,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
0,Private,200603,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,1,United-States,0
1,Local-gov,156464,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,2,,0
0,Private,80312,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,2,0,2,United-States,0
3,Local-gov,141944,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
2,Private,204729,Assoc-voc,11,Separated,Sales,Unmarried,Black,Female,0,0,1,United-States,0
0,,437851,Some-college,10,Never-married,,Own-child,White,Male,0,0,2,United-States,0
3,State-gov,195922,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,0
0,Self-emp-not-inc,161245,12th,8,Never-married,Farming-fishing,Own-child,White,Male,0,0,3,United-States,0
3,Private,91506,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
4,,149855,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0,3,4,United-States,0
1,Private,269786,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,Self-emp-not-inc,408498,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,0
1,Private,223464,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,0
1,,167261,HS-grad,9,Divorced,,Not-in-family,White,Female,0,0,0,United-States,0
2,Self-emp-not-inc,126675,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,3,United-States,1
2,Private,188888,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,1,2,United-States,0
1,Self-emp-not-inc,29974,Assoc-voc,11,Never-married,Farming-fishing,Own-child,White,Male,4,0,2,United-States,1
1,Federal-gov,108464,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,0
3,Self-emp-inc,200949,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,3,,0
1,Private,263908,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,0
2,Private,106900,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,3,2,United-States,1
4,Private,98611,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,Poland,0
3,Local-gov,24139,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,4,United-States,0
0,Private,336440,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,2,United-States,0
1,State-gov,381789,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,4,2,United-States,0
1,Private,160634,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,1
2,Federal-gov,77370,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,0
1,Private,175412,9th,5,Divorced,Craft-repair,Unmarried,White,Male,1,0,3,United-States,0
0,Self-emp-not-inc,194102,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,2,United-States,0
2,Private,147206,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
2,Private,99233,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,0
2,Local-gov,277256,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,1
1,Private,188972,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Female,0,0,1,United-States,0
1,Self-emp-inc,161153,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,3,3,United-States,1
1,Private,105493,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,2,United-States,0
0,Local-gov,152171,11th,7,Never-married,Protective-serv,Own-child,White,Male,0,0,0,United-States,0
3,Private,341814,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,0
0,Private,243921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,United-States,0
3,Private,104421,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,0
0,Private,166302,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
2,Private,187720,Assoc-voc,11,Never-married,Craft-repair,Unmarried,White,Male,0,0,2,United-States,0
1,Private,252646,Some-college,10,Separated,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,0
3,Private,239284,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,2,United-States,0
2,Private,107737,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,1
0,Private,29798,12th,8,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,0,United-States,0
1,Private,179415,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Mexico,0
0,Private,202373,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,1,United-States,0
3,Private,158680,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,1
1,,259120,Some-college,10,Married-civ-spouse,,Wife,White,Female,0,0,0,United-States,0
2,Private,288829,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,3,2,United-States,1
0,Private,214399,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
3,Private,201595,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,0
1,Private,82393,Some-college,10,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,1,Philippines,0
2,Private,73715,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
0,Private,72310,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,4,United-States,0
0,Private,93985,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,United-States,0
3,Private,409443,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,1,Mexico,0
0,Private,173679,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,United-States,0
3,Private,189680,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,1
2,Private,155469,Assoc-acdm,12,Widowed,Tech-support,Unmarried,White,Female,0,0,1,United-States,0
4,Private,115239,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,0
4,Private,109221,7th-8th,4,Widowed,Priv-house-serv,Not-in-family,White,Female,0,4,3,Puerto-Rico,0
2,Private,94210,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,3,United-States,0
1,Private,443546,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,1
2,Private,76893,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,0
2,State-gov,304302,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,2,United-States,0
2,Private,328013,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,4,United-States,0
0,Private,106700,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,0
3,Self-emp-inc,196328,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,2,Jamaica,0
1,Private,293926,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2,1,United-States,0
0,Private,137591,Some-college,10,Never-married,Sales,Own-child,White,Male,0,2,2,United-States,0
2,Private,111499,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,2,0,3,United-States,1
0,Private,421350,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,0
2,Private,206686,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,0
0,Private,139730,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,1
1,,142443,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,1,United-States,0
1,Private,157747,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,0
4,Private,61474,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,2,United-States,1
4,,83439,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,0
